date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:03	2730/2730	---MCZ	200	added ('OK')	application/json	date:Wed,%2021%20Sep%202016%2013:59:01%20GMT	http://gonefish.info/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fgonefish.info%2F2016%2F03%2F%25e5%25a6%2582%25e4%25bd%2595%25e5%259c%25a8os-x%25e4%25b8%258a%25e7%25a6%2581%25e6%25ad%25a2%25e7%2585%25a7%25e7%2589%2587%25e5%25ba%2594%25e7%2594%25a8%25e8%2587%25aa%25e5%258a%25a8%25e6%2589%2593%25e5%25bc%2580%2F	gonefish.info/wp-json/oembed/1.0/embed7ba0.json	(from http://gonefish.info/2016/03/%e5%a6%82%e4%bd%95%e5%9c%a8os-x%e4%b8%8a%e7%a6%81%e6%ad%a2%e7%85%a7%e7%89%87%e5%ba%94%e7%94%a8%e8%87%aa%e5%8a%a8%e6%89%93%e5%bc%80/)
21:59:20	49910/49910	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:58:47%20GMT	http://gonefish.info/category/zope/	gonefish.info/category/zope/index.html	(from http://gonefish.info/)
21:59:32	31234/31234	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:58:51%20GMT	http://gonefish.info/category/%e6%97%b6%e9%97%b4%e5%8f%91%e7%94%9f%e6%9c%ba/	gonefish.info/category/%e6%97%b6%e9%97%b4%e5%8f%91%e7%94%9f%e6%9c%ba/index.html	(from http://gonefish.info/)
21:59:35	35906/35906	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:59:02%20GMT	http://gonefish.info/category/%e6%b5%8f%e8%a7%88%e5%99%a8/	gonefish.info/category/%e6%b5%8f%e8%a7%88%e5%99%a8/index.html	(from http://gonefish.info/)
21:59:35	18948/18948	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:59:21%20GMT	http://gonefish.info/category/%e7%a7%bb%e5%8a%a8%e5%b9%b3%e5%8f%b0/	gonefish.info/category/%e7%a7%bb%e5%8a%a8%e5%b9%b3%e5%8f%b0/index.html	(from http://gonefish.info/)
21:59:36	30360/30360	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:59:08%20GMT	http://gonefish.info/category/%e7%94%b5%e5%bd%b1/	gonefish.info/category/%e7%94%b5%e5%bd%b1/index.html	(from http://gonefish.info/)
21:59:47	17163/17163	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:59:38%20GMT	http://gonefish.info/2016/02/	gonefish.info/2016/02/index.html	(from http://gonefish.info/)
21:59:50	17984/17984	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202016%2013:59:34%20GMT	http://gonefish.info/blog/wp-content/uploads/2013/10/%e5%b1%8f%e5%b9%95%e5%bf%ab%e7%85%a7-2013-10-12-%e4%b8%8b%e5%8d%8810.34.56.png	gonefish.info/blog/wp-content/uploads/2013/10/%e5%b1%8f%e5%b9%95%e5%bf%ab%e7%85%a7-2013-10-12-%e4%b8%8b%e5%8d%8810.34.56.1d.delayed	(from http://gonefish.info/category/osx/)
22:00:33	22921/22921	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:59:51%20GMT	http://gonefish.info/2014/11/	gonefish.info/2014/11/index.html	(from http://gonefish.info/)
22:00:33	19045/19045	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:59:49%20GMT	http://gonefish.info/2015/12/	gonefish.info/2015/12/index.html	(from http://gonefish.info/)
